Date,DIS,GE,GILD,GOOGL,KMI,OIL,T,TSLA,WMT
2011-02-11,43.41,20.509615,19.195,312.562561,31.049999,31.049999,28.469999,23.25,55.689999
2011-02-14,43.240002,20.673077,19.280001,314.389404,30.700001,30.700001,28.459999,23.08,54.799999
2011-02-15,43.09,20.634615,19.495001,312.38739,30.940001,30.940001,28.24,22.84,54.950001
2011-02-16,43.700001,20.615385,19.695,312.422424,30.719999,30.719999,28.299999,24.73,54.549999
2011-02-17,43.700001,20.692308,19.645,312.942932,30.549999,30.549999,28.5,23.6,54.75
2011-02-18,43.560001,20.615385,19.65,315.355347,31.370001,31.370001,28.57,23.18,55.380001
2011-02-22,42.650002,20.01923,19.254999,305.4104,30.719999,30.719999,28.200001,21.870001,53.669998
2011-02-23,42.130001,19.586538,19.01,305.965973,30.42,30.42,28.030001,21.83,53.029999
2011-02-24,42.419998,19.788462,19.389999,304.714722,30.459999,30.459999,27.92,22.530001,52.09
2011-02-25,42.950001,20.01923,19.504999,305.325317,30.5,30.5,28.129999,23.610001,51.75
2011-02-28,43.740002,20.115385,19.49,307.007019,30.5,30.5,28.379999,23.889999,51.98
2011-03-01,42.990002,19.471153,19.280001,300.680695,30.450001,30.450001,28.08,23.940001,52.07
2011-03-02,43.290001,19.538462,19.514999,300.695709,30.57,30.57,28.17,24.02,51.970001
2011-03-03,44.07,19.951923,19.995001,305.085083,30.77,30.77,28.129999,24.360001,52.009998
2011-03-04,43.549999,19.586538,20.355,300.610596,30.85,30.85,27.92,24.950001,52.07
2011-03-07,43.02,19.596153,20.530001,296.126129,30.9,30.9,27.9,24.940001,52.02
2011-03-08,43.200001,19.836538,20.625,296.451447,30.969999,30.969999,28.450001,24.66,52.439999
2011-03-09,43.119999,19.836538,20.825001,296.181183,30.75,30.75,28.790001,24.719999,52.669998
2011-03-10,42.470001,19.326923,20.49,290.44043,30.1,30.1,28.610001,24.01,52.650002
2011-03-11,42.93,19.576923,20.415001,288.643646,30.1,30.1,28.459999,24.07,52.59
2011-03-14,42.240002,19.153847,20.379999,285.280273,29.99,29.99,28.190001,23.25,52.32
2011-03-15,41.619999,18.85577,19.895,285.065063,29.879999,29.879999,27.809999,22.950001,52.060001
2011-03-16,40.599998,18.221153,19.92,278.828827,30.049999,30.049999,27.33,22.82,51.380001
2011-03-17,40.759998,18.48077,20.155001,280.960968,30.15,30.15,27.74,22.809999,51.369999
2011-03-18,41.23,18.509615,20.075001,280.810822,30.5,30.5,27.940001,22.959999,51.52
